category,lat,lng,region,cluster_1
CT1,35.72930553,128.9320902,경상북도,245
CT2,35.01829651,127.1712741,전라남도,486
CT2,34.94396916,128.3955927,경상남도,124
CT2,37.42872909,126.934391,경기도,175
CT2,35.74531173,127.0469576,전라북도,991
CT3,36.2884248,127.4003118,대전광역시,516
CT4,37.57017614,127.0193915,서울특별시,817
CT4,36.32877277,127.423752,대전광역시,637
CT4,37.32161272,127.1100984,경기도,58
CT4,35.10020184,129.0302058,부산광역시,16
CT4,37.50184944,127.4205151,경기도,831
CT4,37.34966599,127.9506276,강원도,984
CT4,37.28006081,127.0177058,경기도,350
CT4,35.81705517,127.1454194,전라북도,231
CT4,36.36478622,129.3876721,경상북도,663
CT4,37.31149413,126.8306432,경기도,617
CT4,35.16096967,129.1721633,부산광역시,320
CT4,35.206877,129.0690187,부산광역시,722
CT4,37.54625669,126.9817231,서울특별시,144
CT4,36.78252099,127.0015345,충청남도,586
CT4,36.99801578,127.0837189,경기도,558
CT4,37.70188403,128.7859762,강원도,755
CT4,35.80772789,127.3223244,전라북도,351
CT2,37.59698674,126.9539447,서울특별시,772
CT2,36.18426461,127.8074267,충청북도,299
CT2,36.03031838,129.3426741,경상북도,958
CT2,35.26004293,128.3035929,경상남도,377
CT2,35.24771238,128.5767479,경상남도,897
CT2,34.78706324,126.380209,전라남도,900
CT2,35.8460372,128.6676405,대구광역시,129
CT2,35.22632736,128.8698592,경상남도,828
CT2,36.44472143,128.2128392,경상북도,361
CT2,33.461384,126.5414365,제주특별자치도,723
CT2,35.80784906,129.2134521,경상북도,602
CT2,37.01156791,127.284062,경기도,702
CT2,35.9604533,129.2122704,경상북도,799
CT2,36.82814741,128.6489033,경상북도,70
CT2,35.13002804,129.0720855,부산광역시,89
CT2,34.93666991,128.0572153,경상남도,705
CT2,35.90354856,129.2593564,경상북도,606
CT2,37.80098251,128.9006323,강원도,651
CT2,37.91470816,128.4860235,강원도,741
CT2,35.22947288,129.1613784,부산광역시,148
CT2,37.73037131,128.1628597,강원도,567
CT2,37.43355723,128.0081022,강원도,223
CT2,37.12954414,129.0254182,강원도,36
CT2,37.58822131,127.0477772,서울특별시,255
CT2,34.96123634,127.1325993,전라남도,486
CT2,36.02983699,128.7697467,경상북도,771
CT2,36.20572751,128.9814498,경상북도,964
CT2,36.84223042,126.9631986,충청남도,586
CT2,36.74044479,129.4658473,경상북도,111
CT2,36.76298858,129.0416381,경상북도,497
CT2,37.06133412,129.4190676,경상북도,201
CT2,34.89829746,126.3103291,전라남도,879
CT2,37.44609183,126.9218405,서울특별시,612
CT2,35.66277011,129.0014292,경상북도,150
CT2,34.95501362,126.8888309,전라남도,345
CT2,35.18163076,129.1440339,부산광역시,320
CT2,34.50882979,126.6055589,전라남도,822
CT2,36.90808093,127.6998819,충청북도,716
CT2,36.29978147,127.3727907,대전광역시,338
CT2,35.1756112,128.6612368,경상남도,414
CT2,35.8184197,128.7367284,경상북도,893
CT2,35.22867088,129.0843668,부산광역시,696
CT2,35.76104758,129.2658713,경상북도,902
CT2,36.64136667,128.0444285,경상북도,446
CT2,37.75554852,127.1986813,경기도,423
CT2,35.35874988,129.1734409,경상남도,60
CT2,36.57471727,127.6001227,충청북도,247
CT2,35.1225084,128.9751418,부산광역시,288
CT2,35.0057284,127.6915353,전라남도,855
CT2,35.14597967,126.7995793,광주광역시,628
CT2,36.79548204,127.8446487,충청북도,43
CT2,36.80862417,129.0871846,경상북도,497
CT2,36.7981484,127.6887428,충청북도,14
CT2,36.79149079,128.4027671,경상북도,919
CT2,37.01859372,127.1990032,경기도,502
CT2,33.24034744,126.230485,제주특별자치도,616
CT2,35.2725732,128.398122,경상남도,371
CT2,35.91890996,128.9749958,경상북도,780
CT2,35.4042553,127.7790654,경상남도,262
CT2,35.97210087,129.2724917,경상북도,356
CT2,36.88960539,127.4521573,충청북도,399
CT2,37.16657192,127.0929223,경기도,355
CT2,34.60739416,127.281768,전라남도,451
CT2,37.43049971,128.0108813,강원도,223
