id,category_id,detail,lat,lng,place,region
KCLANPO22N000000001,CT1,호수/저수지,35.72930553,128.9320902,운문호  ,경상북도
KCLANPO22N000000002,CT2,사찰,35.01829651,127.1712741,유마사  ,전라남도
KCLANPO22N000000003,CT2,사찰,34.94396916,128.3955927,안정사  ,경상남도
KCLANPO22N000000004,CT2,사찰,37.42872909,126.934391,염불암  ,경기도
KCLANPO22N000000005,CT2,사찰,35.74531173,127.0469576,귀신사  ,전라북도
KCLANPO22N000000006,CT3,동물원,36.2884248,127.4003118,오월드  ,대전광역시
KCLANPO22N000000007,CT4,지역상권,37.57017614,127.0193915,곱창골목  ,서울특별시
KCLANPO22N000000008,CT4,지역상권,36.32877277,127.423752,음식거리  ,대전광역시
KCLANPO22N000000009,CT4,지역상권,37.32161272,127.1100984,보정동카페거리  ,경기도
KCLANPO22N000000010,CT4,지역상권,35.10020184,129.0302058,팥빙수골목  ,부산광역시
KCLANPO22N000000011,CT4,지역상권,37.50184944,127.4205151,양평카페촌  ,경기도
KCLANPO22N000000012,CT4,지역상권,37.34966599,127.9506276,중앙로문화의거리  ,강원도
KCLANPO22N000000013,CT4,지역상권,37.28006081,127.0177058,수원통닭거리  ,경기도
KCLANPO22N000000014,CT4,지역상권,35.81705517,127.1454194,웨딩의거리  ,전라북도
KCLANPO22N000000015,CT4,지역상권,36.36478622,129.3876721,영덕블루로드  ,경상북도
KCLANPO22N000000016,CT4,지역상권,37.31149413,126.8306432,사리골참치거리  ,경기도
KCLANPO22N000000017,CT4,지역상권,35.16096967,129.1721633,달맞이미술의거리  ,부산광역시
KCLANPO22N000000018,CT4,지역상권,35.206877,129.0690187,웹툰스마힐링101  ,부산광역시
KCLANPO22N000000019,CT4,지역상권,37.54625669,126.9817231,해방촌예술마을  ,서울특별시
KCLANPO22N000000020,CT4,지역상권,36.78252099,127.0015345,아산시온궁로문화의거리  ,충청남도
KCLANPO22N000000021,CT4,지역상권,36.99801578,127.0837189,평택매운음식골목  ,경기도
KCLANPO22N000000022,CT4,지역상권,37.70188403,128.7859762,대관령옛길  ,강원도
KCLANPO22N000000023,CT4,지역상권,35.80772789,127.3223244,부귀메타세쿼이아길  ,전라북도
KCLANPO22N000000024,CT2,사찰,37.59698674,126.9539447,옥천암  ,서울특별시
KCLANPO22N000000025,CT2,사찰,36.18426461,127.8074267,향엄사  ,충청북도
KCLANPO22N000000026,CT2,사찰,36.03031838,129.3426741,용연사  ,경상북도
KCLANPO22N000000027,CT2,사찰,35.26004293,128.3035929,용화사  ,경상남도
KCLANPO22N000000028,CT2,사찰,35.24771238,128.5767479,금강사  ,경상남도
KCLANPO22N000000029,CT2,사찰,34.78706324,126.380209,청명사  ,전라남도
KCLANPO22N000000030,CT2,사찰,35.8460372,128.6676405,석가사  ,대구광역시
KCLANPO22N000000031,CT2,사찰,35.22632736,128.8698592,흥부암  ,경상남도
KCLANPO22N000000032,CT2,사찰,36.44472143,128.2128392,충의사  ,경상북도
KCLANPO22N000000033,CT2,사찰,33.461384,126.5414365,덕흥사  ,제주특별자치도
KCLANPO22N000000034,CT2,사찰,35.80784906,129.2134521,성불사  ,경상북도
KCLANPO22N000000035,CT2,사찰,37.01156791,127.284062,삼봉사  ,경기도
